Date,Transaction Type,No.,Amount ,Due Date,Customer,Split,Terms,A/R Paid,Open Balance,Sent,Delivery Address
07/07/2024,Invoice,1582,66.00  ,14/07/2024,Aus Roofing,Sales,7 Days,Paid,0.00  ,Sent,accounts@ausroofinggroup.com.au
05/08/2024,Payment,,66.00  ,05/08/2024,Aus Roofing,Business,,Paid,,,accounts@ausroofinggroup.com.au
28/07/2024,Invoice,1592,66.00  ,04/08/2024,Aus Roofing,Sales,7 Days,Paid,0.00  ,Sent,accounts@ausroofinggroup.com.au
12/08/2024,Payment,,396.00  ,12/08/2024,Aus Roofing,Business,,Paid,,,accounts@ausroofinggroup.com.au
04/08/2024,Invoice,1599,396.00  ,11/08/2024,Aus Roofing,-Split-,7 Days,Paid,0.00  ,Sent,accounts@ausroofinggroup.com.au
03/09/2024,Payment,,297.00  ,03/09/2024,Aus Roofing,Business,,Paid,,,accounts@ausroofinggroup.com.au
25/08/2024,Invoice,1616,297.00  ,01/09/2024,Aus Roofing,Sales,7 Days,Paid,0.00  ,Sent,accounts@ausroofinggroup.com.au
09/09/2024,Payment,,346.50  ,09/09/2024,Aus Roofing,Business,,Paid,,,accounts@ausroofinggroup.com.au
01/09/2024,Invoice,1621,346.50  ,08/09/2024,Aus Roofing,-Split-,7 Days,Paid,0.00  ,Sent,accounts@ausroofinggroup.com.au
17/09/2024,Payment,,143.00  ,17/09/2024,Aus Roofing,Business,,Paid,,,accounts@ausroofinggroup.com.au
08/09/2024,Invoice,1628,143.00  ,15/09/2024,Aus Roofing,-Split-,7 Days,Paid,0.00  ,Sent,accounts@ausroofinggroup.com.au
30/09/2024,Payment,,66.00  ,30/09/2024,Aus Roofing,Business,,Paid,,,accounts@ausroofinggroup.com.au
15/09/2024,Invoice,1635,66.00  ,22/09/2024,Aus Roofing,Sales,7 Days,Paid,0.00  ,Sent,accounts@ausroofinggroup.com.au
30/09/2024,Payment,,66.00  ,30/09/2024,Aus Roofing,Business,,Paid,,,accounts@ausroofinggroup.com.au
22/09/2024,Invoice,1641,66.00  ,29/09/2024,Aus Roofing,Sales,7 Days,Paid,0.00  ,Sent,accounts@ausroofinggroup.com.au
22/10/2024,Payment,,99.00  ,22/10/2024,Aus Roofing,Business,,Paid,,,accounts@ausroofinggroup.com.au
13/10/2024,Invoice,1659,99.00  ,20/10/2024,Aus Roofing,Sales,7 Days,Paid,0.00  ,Sent,accounts@ausroofinggroup.com.au
28/10/2024,Payment,,66.00  ,28/10/2024,Aus Roofing,Business,,Paid,,,accounts@ausroofinggroup.com.au
20/10/2024,Invoice,1668,66.00  ,27/10/2024,Aus Roofing,Sales,7 Days,Paid,0.00  ,Sent,accounts@ausroofinggroup.com.au
07/11/2024,Payment,,198.00  ,07/11/2024,Aus Roofing,Business,,Paid,,,accounts@ausroofinggroup.com.au
27/10/2024,Invoice,1676,198.00  ,03/11/2024,Aus Roofing,-Split-,7 Days,Paid,0.00  ,Sent,accounts@ausroofinggroup.com.au
25/11/2024,Payment,,297.00  ,25/11/2024,Aus Roofing,Business,,Paid,,,accounts@ausroofinggroup.com.au
17/11/2024,Invoice,1699,297.00  ,24/11/2024,Aus Roofing,-Split-,7 Days,Paid,0.00  ,Sent,accounts@ausroofinggroup.com.au
11/12/2024,Payment,,99.00  ,11/12/2024,Aus Roofing,Business,,Paid,,,accounts@ausroofinggroup.com.au
02/12/2024,Invoice,1713,99.00  ,09/12/2024,Aus Roofing,Sales,7 Days,Paid,0.00  ,Sent,accounts@ausroofinggroup.com.au
06/01/2025,Payment,,132.00  ,06/01/2025,Aus Roofing,Business,,Paid,,,accounts@ausroofinggroup.com.au
16/12/2024,Invoice,1720,132.00  ,23/12/2024,Aus Roofing,Sales,7 Days,Paid,0.00  ,Sent,accounts@ausroofinggroup.com.au
13/01/2025,Payment,,165.00  ,13/01/2025,Aus Roofing,Business,,Paid,,,accounts@ausroofinggroup.com.au
31/12/2024,Invoice,1726,165.00  ,07/01/2025,Aus Roofing,Sales,7 Days,Paid,0.00  ,Sent,accounts@ausroofinggroup.com.au
04/02/2025,Payment,,319.00  ,04/02/2025,Aus Roofing,Business,,Paid,,,accounts@ausroofinggroup.com.au
27/01/2025,Invoice,1742,319.00  ,03/02/2025,Aus Roofing,-Split-,7 Days,Paid,0.00  ,Sent,accounts@ausroofinggroup.com.au
14/02/2025,Payment,,594.00  ,14/02/2025,Aus Roofing,Business,,Paid,,,accounts@ausroofinggroup.com.au
03/02/2025,Invoice,1751,594.00  ,10/02/2025,Aus Roofing,-Split-,7 Days,Paid,0.00  ,Sent,accounts@ausroofinggroup.com.au
21/02/2025,Payment,,77.00  ,21/02/2025,Aus Roofing,Business,,Paid,,,accounts@ausroofinggroup.com.au
10/02/2025,Invoice,1758,77.00  ,17/02/2025,Aus Roofing,Sales,7 Days,Paid,0.00  ,Sent,accounts@ausroofinggroup.com.au
25/02/2025,Payment,,66.00  ,25/02/2025,Aus Roofing,Business,,Paid,,,accounts@ausroofinggroup.com.au
17/02/2025,Invoice,1763,66.00  ,24/02/2025,Aus Roofing,Sales,7 Days,Paid,0.00  ,Sent,accounts@ausroofinggroup.com.au
04/03/2025,Payment,,330.00  ,04/03/2025,Aus Roofing,Business,,Paid,,,accounts@ausroofinggroup.com.au
24/02/2025,Invoice,1772,330.00  ,03/03/2025,Aus Roofing,Sales,7 Days,Paid,0.00  ,Sent,accounts@ausroofinggroup.com.au
17/03/2025,Payment,,49.50  ,17/03/2025,Aus Roofing,Business,,Paid,,,accounts@ausroofinggroup.com.au
09/03/2025,Invoice,1790,49.50  ,16/03/2025,Aus Roofing,Sales,7 Days,Paid,0.00  ,Sent,accounts@ausroofinggroup.com.au
01/04/2025,Payment,,198.00  ,01/04/2025,Aus Roofing,Business,,Paid,,,accounts@ausroofinggroup.com.au
24/03/2025,Invoice,1807,198.00  ,31/03/2025,Aus Roofing,-Split-,7 Days,Paid,0.00  ,Sent,accounts@ausroofinggroup.com.au
10/04/2025,Payment,,528.00  ,10/04/2025,Aus Roofing,Business,,Paid,,,accounts@ausroofinggroup.com.au
01/04/2025,Invoice,1816,528.00  ,08/04/2025,Aus Roofing,-Split-,7 Days,Paid,0.00  ,Sent,accounts@ausroofinggroup.com.au
23/04/2025,Payment,,66.00  ,23/04/2025,Aus Roofing,Business,,Paid,,,accounts@ausroofinggroup.com.au
07/04/2025,Invoice,1824,66.00  ,14/04/2025,Aus Roofing,Sales,7 Days,Paid,0.00  ,Sent,accounts@ausroofinggroup.com.au
28/04/2025,Payment,,231.00  ,28/04/2025,Aus Roofing,Business,,Paid,,,accounts@ausroofinggroup.com.au
17/04/2025,Invoice,1831,231.00  ,24/04/2025,Aus Roofing,-Split-,7 Days,Paid,0.00  ,Sent,accounts@ausroofinggroup.com.au
28/04/2025,Payment,,330.00  ,28/04/2025,Aus Roofing,Business,,Paid,,,accounts@ausroofinggroup.com.au
20/04/2025,Invoice,1836,330.00  ,27/04/2025,Aus Roofing,-Split-,7 Days,Paid,0.00  ,Sent,accounts@ausroofinggroup.com.au
13/05/2025,Payment,,363.00  ,13/05/2025,Aus Roofing,Business,,Paid,,,accounts@ausroofinggroup.com.au
29/04/2025,Invoice,1841,363.00  ,06/05/2025,Aus Roofing,-Split-,7 Days,Paid,0.00  ,Sent,accounts@ausroofinggroup.com.au
13/05/2025,Payment,,275.00  ,13/05/2025,Aus Roofing,Business,,Paid,,,accounts@ausroofinggroup.com.au
05/05/2025,Invoice,1849,275.00  ,12/05/2025,Aus Roofing,-Split-,7 Days,Paid,0.00  ,Sent,accounts@ausroofinggroup.com.au
29/05/2025,Payment,,66.00  ,29/05/2025,Aus Roofing,Business,,Paid,,,accounts@ausroofinggroup.com.au
18/05/2025,Invoice,1858,66.00  ,25/05/2025,Aus Roofing,Sales,7 Days,Paid,0.00  ,Sent,accounts@ausroofinggroup.com.au
19/06/2025,Payment,,874.50  ,19/06/2025,Aus Roofing,Business,,Paid,,,accounts@ausroofinggroup.com.au
08/06/2025,Invoice,1869,874.50  ,15/06/2025,Aus Roofing,-Split-,7 Days,Paid,0.00  ,Sent,accounts@ausroofinggroup.com.au
23/06/2025,Payment,,132.00  ,23/06/2025,Aus Roofing,Business,,Paid,,,accounts@ausroofinggroup.com.au
16/06/2025,Invoice,1882,132.00  ,23/06/2025,Aus Roofing,-Split-,7 Days,Paid,0.00  ,Sent,accounts@ausroofinggroup.com.au
02/07/2025,Payment,,660.00  ,02/07/2025,Aus Roofing,Business,,Paid,,,accounts@ausroofinggroup.com.au
22/06/2025,Invoice,1892,660.00  ,29/06/2025,Aus Roofing,-Split-,7 Days,Paid,0.00  ,Sent,accounts@ausroofinggroup.com.au
21/07/2025,Payment,,231.00  ,21/07/2025,Aus Roofing,Business,,Paid,,,accounts@ausroofinggroup.com.au
15/07/2025,Invoice,1923,231.00  ,22/07/2025,Aus Roofing,-Split-,7 Days,Paid,0.00  ,Sent,accounts@ausroofinggroup.com.au
11/08/2025,Payment,,198.00  ,11/08/2025,Aus Roofing,Business,,Paid,,,accounts@ausroofinggroup.com.au
02/08/2025,Invoice,1947,198.00  ,09/08/2025,Aus Roofing,-Split-,7 Days,Paid,0.00  ,Sent,accounts@ausroofinggroup.com.au
25/08/2025,Payment,,264.00  ,25/08/2025,Aus Roofing,Business,,Paid,,,accounts@ausroofinggroup.com.au
17/08/2025,Invoice,1964,264.00  ,24/08/2025,Aus Roofing,Sales,7 Days,Paid,0.00  ,Sent,accounts@ausroofinggroup.com.au
02/09/2025,Payment,,297.00  ,02/09/2025,Aus Roofing,Business,,Paid,,,accounts@ausroofinggroup.com.au
24/08/2025,Invoice,1976,297.00  ,31/08/2025,Aus Roofing,-Split-,7 Days,Paid,0.00  ,Sent,accounts@ausroofinggroup.com.au
12/09/2025,Payment,,165.00  ,12/09/2025,Aus Roofing,Business,,Paid,,,accounts@ausroofinggroup.com.au
03/09/2025,Invoice,1990,165.00  ,10/09/2025,Aus Roofing,-Split-,7 Days,Paid,0.00  ,Sent,accounts@ausroofinggroup.com.au
29/09/2025,Payment,,165.00  ,29/09/2025,Aus Roofing,Business,,Paid,,,accounts@ausroofinggroup.com.au
21/09/2025,Invoice,2013,165.00  ,28/09/2025,Aus Roofing,-Split-,7 Days,Paid,0.00  ,Sent,accounts@ausroofinggroup.com.au
14/10/2025,Payment,,66.00  ,14/10/2025,Aus Roofing,Business,,Paid,,,accounts@ausroofinggroup.com.au
28/09/2025,Invoice,2032,66.00  ,05/10/2025,Aus Roofing,Sales,7 Days,Paid,0.00  ,Sent,accounts@ausroofinggroup.com.au
10/11/2025,Payment,,66.00  ,10/11/2025,Aus Roofing,Business,,Paid,,,accounts@ausroofinggroup.com.au
26/10/2025,Invoice,2052,66.00  ,02/11/2025,Aus Roofing,Sales,7 Days,Paid,0.00  ,Sent,accounts@ausroofinggroup.com.au
10/11/2025,Payment,,330.00  ,10/11/2025,Aus Roofing,Business,,Paid,,,accounts@ausroofinggroup.com.au
02/11/2025,Invoice,2072,330.00  ,09/11/2025,Aus Roofing,-Split-,7 Days,Paid,0.00  ,Sent,accounts@ausroofinggroup.com.au
01/12/2025,Payment,,660.00  ,01/12/2025,Aus Roofing,Business,,Paid,,,accounts@ausroofinggroup.com.au
23/11/2025,Invoice,2085,660.00  ,30/11/2025,Aus Roofing,-Split-,7 Days,Paid,0.00  ,Sent,accounts@ausroofinggroup.com.au
15/12/2025,Payment,,198.00  ,15/12/2025,Aus Roofing,Business,,Paid,,,accounts@ausroofinggroup.com.au
07/12/2025,Invoice,2103,198.00  ,14/12/2025,Aus Roofing,Sales,7 Days,Paid,0.00  ,Sent,accounts@ausroofinggroup.com.au
23/01/2026,Payment,,132.00  ,23/01/2026,Aus Roofing,Business,,Paid,,,accounts@ausroofinggroup.com.au
04/01/2026,Invoice,2121,132.00  ,11/01/2026,Aus Roofing,-Split-,7 Days,Paid,0.00  ,Sent,accounts@ausroofinggroup.com.au
,,,,,,,,,,,
,,,,,,,,,,,
17/01/2023,Payment,,33.00  ,17/01/2023,AVC Roof Plumbing,Business,,Paid,,,avcroofplumbing@gmail.com
04/12/2022,Invoice,1074,33.00  ,11/12/2022,AVC Roof Plumbing,Sales,7 Days,Paid,0.00  ,Sent,avcroofplumbing@gmail.com
15/03/2023,Payment,,60.50  ,15/03/2023,AVC Roof Plumbing,Business,,Paid,,,avcroofplumbing@gmail.com
26/02/2023,Invoice,1135,60.50  ,05/03/2023,AVC Roof Plumbing,Sales,7 Days,Paid,0.00  ,Sent,avcroofplumbing@gmail.com
11/06/2023,Payment,,50.00  ,11/06/2023,AVC Roof Plumbing,Business,,Paid,0.00  ,,avcroofplumbing@gmail.com
25/06/2023,Invoice,1254,93.50  ,02/07/2023,AVC Roof Plumbing,Sales,7 Days,Paid,0.00  ,Sent,avcroofplumbing@gmail.com
11/06/2023,Payment,,30.25  ,11/06/2023,AVC Roof Plumbing,Business,,Paid,,,avcroofplumbing@gmail.com
19/03/2023,Invoice,1159,30.25  ,26/03/2023,AVC Roof Plumbing,Sales,7 Days,Paid,0.00  ,Sent,avcroofplumbing@gmail.com
17/07/2023,Payment,,43.50  ,17/07/2023,AVC Roof Plumbing,Business,,Paid,,,avcroofplumbing@gmail.com
25/06/2023,Invoice,1254,93.50  ,02/07/2023,AVC Roof Plumbing,Sales,7 Days,Paid,0.00  ,Sent,avcroofplumbing@gmail.com
20/08/2024,Payment,,66.00  ,20/08/2024,AVC Roof Plumbing,Business,,Paid,,,avcroofplumbing@gmail.com
24/06/2024,Invoice,1567,66.00  ,30/06/2024,AVC Roof Plumbing,Sales,7 Days,Paid,0.00  ,Sent,avcroofplumbing@gmail.com
,,,,,,,,,,,
,,,,,,,,,,,
29/08/2022,Payment,,302.50  ,29/08/2022,Bendex Roofing,Business,,Paid,,,
29/08/2022,Invoice,1014,302.50  ,05/09/2022,Bendex Roofing,-Split-,7 Days,Paid,0.00  ,Sent,Bendexroofing@outlook.com
11/09/2022,Payment,,88.00  ,11/09/2022,Bendex Roofing,Business,,Paid,,,
05/09/2022,Invoice,1021,88.00  ,12/09/2022,Bendex Roofing,-Split-,7 Days,Paid,0.00  ,Sent,Bendexroofing@outlook.com
23/09/2022,Payment,,225.50  ,23/09/2022,Bendex Roofing,Business,,Paid,,,
12/09/2022,Invoice,1023,225.50  ,19/09/2022,Bendex Roofing,-Split-,7 Days,Paid,0.00  ,Sent,Bendexroofing@outlook.com
27/09/2022,Payment,,60.50  ,27/09/2022,Bendex Roofing,Business,,Paid,,,
19/09/2022,Invoice,1026,60.50  ,26/09/2022,Bendex Roofing,Sales,7 Days,Paid,0.00  ,Sent,Bendexroofing@outlook.com
11/10/2022,Payment,,44.00  ,11/10/2022,Bendex Roofing,Business,,Paid,,,
26/09/2022,Invoice,1029,44.00  ,03/10/2022,Bendex Roofing,Sales,7 Days,Paid,0.00  ,Sent,Bendexroofing@outlook.com
13/10/2022,Payment,,44.00  ,13/10/2022,Bendex Roofing,Business,,Paid,,,
03/10/2022,Invoice,1034,44.00  ,10/10/2022,Bendex Roofing,Sales,7 Days,Paid,0.00  ,Sent,Bendexroofing@outlook.com
01/11/2022,Payment,,60.50  ,01/11/2022,Bendex Roofing,Business,,Paid,,,
30/10/2022,Invoice,1049,60.50  ,06/11/2022,Bendex Roofing,Sales,7 Days,Paid,0.00  ,Sent,Bendexroofing@outlook.com
01/11/2022,Payment,,88.00  ,01/11/2022,Bendex Roofing,Business,,Paid,,,
24/10/2022,Invoice,1046,88.00  ,31/10/2022,Bendex Roofing,-Split-,7 Days,Paid,0.00  ,Sent,Bendexroofing@outlook.com
11/11/2022,Payment,,165.00  ,11/11/2022,Bendex Roofing,Business,,Paid,,,
07/11/2022,Invoice,1054,165.00  ,14/11/2022,Bendex Roofing,-Split-,7 Days,Paid,0.00  ,Sent,Bendexroofing@outlook.com
05/12/2022,Payment,,60.50  ,05/12/2022,Bendex Roofing,Business,,Paid,,,
04/12/2022,Invoice,1075,60.50  ,11/12/2022,Bendex Roofing,Sales,7 Days,Paid,0.00  ,Sent,Bendexroofing@outlook.com
05/12/2022,Payment,,44.00  ,05/12/2022,Bendex Roofing,Business,,Paid,,,
21/11/2022,Invoice,1062,44.00  ,28/11/2022,Bendex Roofing,Sales,7 Days,Paid,0.00  ,Sent,Bendexroofing@outlook.com
18/10/2022,Payment,,121.00  ,18/10/2022,Bendex Roofing,Business,,Paid,,,
16/10/2022,Invoice,1041,121.00  ,23/10/2022,Bendex Roofing,-Split-,7 Days,Paid,0.00  ,Sent,Bendexroofing@outlook.com
22/11/2022,Payment,,60.50  ,22/11/2022,Bendex Roofing,Business,,Paid,,,
14/11/2022,Invoice,1056,60.50  ,21/11/2022,Bendex Roofing,Sales,7 Days,Paid,0.00  ,Sent,Bendexroofing@outlook.com
28/11/2022,Payment,,60.50  ,28/11/2022,Bendex Roofing,Business,,Paid,,,
28/11/2022,Invoice,1071,60.50  ,05/12/2022,Bendex Roofing,Sales,7 Days,Paid,0.00  ,Sent,Bendexroofing@outlook.com
28/12/2022,Payment,,60.50  ,28/12/2022,Bendex Roofing,Business,,Paid,,,
18/12/2022,Invoice,1086,60.50  ,25/12/2022,Bendex Roofing,Sales,7 Days,Paid,0.00  ,Sent,Bendexroofing@outlook.com
18/01/2023,Payment,,60.50  ,18/01/2023,Bendex Roofing,Business,,Paid,,,
16/01/2023,Invoice,1094,60.50  ,23/01/2023,Bendex Roofing,Sales,7 Days,Paid,0.00  ,Sent,Bendexroofing@outlook.com
23/01/2023,Payment,,88.00  ,23/01/2023,Bendex Roofing,Business,,Paid,,,
22/01/2023,Invoice,1100,88.00  ,29/01/2023,Bendex Roofing,-Split-,7 Days,Paid,0.00  ,Sent,Bendexroofing@outlook.com
01/02/2023,Payment,,363.00  ,01/02/2023,Bendex Roofing,Business,,Paid,,,
29/01/2023,Invoice,1109,363.00  ,05/02/2023,Bendex Roofing,-Split-,7 Days,Paid,0.00  ,Sent,Bendexroofing@outlook.com
26/02/2023,Payment,,269.50  ,26/02/2023,Bendex Roofing,Business,,Paid,,,
13/02/2023,Invoice,1124,269.50  ,20/02/2023,Bendex Roofing,-Split-,7 Days,Paid,0.00  ,Sent,Bendexroofing@outlook.com
06/03/2023,Payment,,44.00  ,06/03/2023,Bendex Roofing,Business,,Paid,,,
26/02/2023,Invoice,1136,44.00  ,05/03/2023,Bendex Roofing,Sales,7 Days,Paid,0.00  ,Sent,Bendexroofing@outlook.com
07/03/2023,Payment,,269.50  ,07/03/2023,Bendex Roofing,Business,,Paid,,,
05/03/2023,Invoice,1143,269.50  ,12/03/2023,Bendex Roofing,-Split-,7 Days,Paid,0.00  ,Sent,Bendexroofing@outlook.com
27/03/2023,Payment,,332.75  ,27/03/2023,Bendex Roofing,Business,,Paid,,,
26/03/2023,Invoice,1167,332.75  ,02/04/2023,Bendex Roofing,-Split-,7 Days,Paid,0.00  ,Sent,Bendexroofing@outlook.com
12/04/2023,Payment,,44.00  ,12/04/2023,Bendex Roofing,Business,,Paid,,,
19/03/2023,Invoice,1160,44.00  ,26/03/2023,Bendex Roofing,Sales,7 Days,Paid,0.00  ,Sent,Bendexroofing@outlook.com
12/04/2023,Payment,,121.00  ,12/04/2023,Bendex Roofing,Business,,Paid,,,
12/03/2023,Invoice,1152,121.00  ,19/03/2023,Bendex Roofing,-Split-,7 Days,Paid,0.00  ,Sent,Bendexroofing@outlook.com
23/04/2023,Payment,,181.50  ,23/04/2023,Bendex Roofing,Business,,Paid,,,
18/04/2023,Invoice,1187,181.50  ,25/04/2023,Bendex Roofing,-Split-,7 Days,Paid,0.00  ,Sent,Bendexroofing@outlook.com
01/05/2023,Payment,,181.50  ,01/05/2023,Bendex Roofing,Business,,Paid,,,
23/04/2023,Invoice,1191,181.50  ,30/04/2023,Bendex Roofing,-Split-,7 Days,Paid,0.00  ,Sent,Bendexroofing@outlook.com
15/05/2023,Payment,,242.00  ,15/05/2023,Bendex Roofing,Business,,Paid,,,
07/05/2023,Invoice,1204,242.00  ,14/05/2023,Bendex Roofing,-Split-,7 Days,Paid,0.00  ,Sent,Bendexroofing@outlook.com
23/05/2023,Payment,,181.50  ,23/05/2023,Bendex Roofing,Business,,Paid,,,
21/05/2023,Invoice,1220,181.50  ,28/05/2023,Bendex Roofing,-Split-,7 Days,Paid,0.00  ,Sent,Bendexroofing@outlook.com
23/05/2023,Payment,,60.50  ,23/05/2023,Bendex Roofing,Business,,Paid,,,
14/05/2023,Invoice,1211,60.50  ,21/05/2023,Bendex Roofing,Sales,7 Days,Paid,0.00  ,Sent,Bendexroofing@outlook.com
19/06/2023,Payment,,60.50  ,19/06/2023,Bendex Roofing,Business,,Paid,,,Bendexroofing@outlook.com
18/06/2023,Invoice,1248,60.50  ,25/06/2023,Bendex Roofing,Sales,7 Days,Paid,0.00  ,Sent,Bendexroofing@outlook.com
26/06/2023,Payment,,181.50  ,26/06/2023,Bendex Roofing,Business,,Paid,,,Bendexroofing@outlook.com
25/06/2023,Invoice,1259,181.50  ,02/07/2023,Bendex Roofing,-Split-,7 Days,Paid,0.00  ,Sent,Bendexroofing@outlook.com
27/06/2023,Payment,,242.00  ,27/06/2023,Bendex Roofing,Business,,Paid,,,Bendexroofing@outlook.com
04/06/2023,Invoice,1236,242.00  ,11/06/2023,Bendex Roofing,-Split-,7 Days,Paid,0.00  ,Sent,Bendexroofing@outlook.com
20/07/2023,Payment,,60.50  ,20/07/2023,Bendex Roofing,Business,,Paid,,,Bendexroofing@outlook.com
10/07/2023,Invoice,1265,60.50  ,17/07/2023,Bendex Roofing,Sales,7 Days,Paid,0.00  ,Sent,Bendexroofing@outlook.com
24/07/2023,Payment,,60.50  ,24/07/2023,Bendex Roofing,Business,,Paid,,,Bendexroofing@outlook.com
23/07/2023,Invoice,1289,60.50  ,30/07/2023,Bendex Roofing,Sales,7 Days,Paid,0.00  ,Sent,Bendexroofing@outlook.com
24/07/2023,Payment,,60.50  ,24/07/2023,Bendex Roofing,Business,,Paid,,,Bendexroofing@outlook.com
16/07/2023,Invoice,1275,60.50  ,23/07/2023,Bendex Roofing,Sales,7 Days,Paid,0.00  ,Sent,Bendexroofing@outlook.com
08/08/2023,Payment,,203.50  ,08/08/2023,Bendex Roofing,Business,,Paid,,,Bendexroofing@outlook.com
30/07/2023,Invoice,1299,203.50  ,06/08/2023,Bendex Roofing,-Split-,7 Days,Paid,0.00  ,Sent,Bendexroofing@outlook.com
03/09/2023,Payment,,176.00  ,03/09/2023,Bendex Roofing,Business,,Paid,,,Bendexroofing@outlook.com
20/08/2023,Invoice,1322,176.00  ,27/08/2023,Bendex Roofing,-Split-,7 Days,Paid,0.00  ,Sent,Bendexroofing@outlook.com
17/09/2023,Payment,,60.50  ,17/09/2023,Bendex Roofing,Business,,Paid,,,Bendexroofing@outlook.com
06/08/2023,Invoice,1305,60.50  ,13/08/2023,Bendex Roofing,Sales,7 Days,Paid,0.00  ,Sent,Bendexroofing@outlook.com
23/10/2023,Payment,,283.25  ,23/10/2023,Bendex Roofing,Business,,Paid,,,Bendexroofing@outlook.com
02/10/2023,Invoice,1364,71.50  ,09/10/2023,Bendex Roofing,Sales,7 Days,Paid,0.00  ,Sent,Bendexroofing@outlook.com
15/10/2023,Invoice,1373,60.50  ,22/10/2023,Bendex Roofing,Sales,7 Days,Paid,0.00  ,Sent,Bendexroofing@outlook.com
24/09/2023,Invoice,1359,151.25  ,01/10/2023,Bendex Roofing,-Split-,7 Days,Paid,0.00  ,Sent,Bendexroofing@outlook.com
23/10/2023,Payment,,60.50  ,23/10/2023,Bendex Roofing,Business,,Paid,,,Bendexroofing@outlook.com
23/10/2023,Invoice,1384,60.50  ,30/10/2023,Bendex Roofing,Sales,7 Days,Paid,0.00  ,Sent,Bendexroofing@outlook.com
11/12/2023,Payment,,176.00  ,11/12/2023,Bendex Roofing,Business,,Paid,,,Bendexroofing@outlook.com
06/11/2023,Invoice,1392,176.00  ,13/11/2023,Bendex Roofing,-Split-,7 Days,Paid,0.00  ,Sent,Bendexroofing@outlook.com
29/01/2025,Payment,,198.00  ,29/01/2025,Bendex Roofing,Business,,Paid,,,Bendexroofing@outlook.com
27/01/2025,Invoice,1743,198.00  ,03/02/2025,Bendex Roofing,-Split-,7 Days,Paid,0.00  ,Sent,Bendexroofing@outlook.com
06/03/2025,Payment,,66.00  ,06/03/2025,Bendex Roofing,Business,,Paid,,,Bendexroofing@outlook.com
17/02/2025,Invoice,1764,66.00  ,24/02/2025,Bendex Roofing,Sales,7 Days,Paid,0.00  ,Sent,Bendexroofing@outlook.com
,,,,,,,,,,,
,,,,,,,,,,,
28/07/2022,Payment,,272.25  ,28/07/2022,Border Metal Roofing,Business,,Paid,,,
24/07/2022,Invoice,1006,272.25  ,31/07/2022,Border Metal Roofing,Sales,7 Days,Paid,0.00  ,Sent,gemma@bordermetalroofing.com.au
10/08/2022,Payment,,60.50  ,10/08/2022,Border Metal Roofing,Business,,Paid,,,
01/08/2022,Invoice,1008,60.50  ,08/08/2022,Border Metal Roofing,Sales,7 Days,Paid,0.00  ,Sent,gemma@bordermetalroofing.com.au
05/09/2022,Payment,,514.25  ,05/09/2022,Border Metal Roofing,Business,,Paid,,,
29/08/2022,Invoice,1015,514.25  ,05/09/2022,Border Metal Roofing,-Split-,7 Days,Paid,0.00  ,Sent,gemma@bordermetalroofing.com.au
12/09/2022,Payment,,121.00  ,12/09/2022,Border Metal Roofing,Business,,Paid,,,
05/09/2022,Invoice,1022,121.00  ,12/09/2022,Border Metal Roofing,-Split-,7 Days,Paid,0.00  ,Sent,gemma@bordermetalroofing.com.au
12/12/2022,Payment,,60.50  ,12/12/2022,Border Metal Roofing,Business,,Paid,,,
11/12/2022,Invoice,1079,60.50  ,18/12/2022,Border Metal Roofing,Sales,7 Days,Paid,0.00  ,Sent,gemma@bordermetalroofing.com.au
23/11/2022,Payment,,60.50  ,23/11/2022,Border Metal Roofing,Business,,Paid,,,
21/11/2022,Invoice,1063,60.50  ,28/11/2022,Border Metal Roofing,Sales,7 Days,Paid,0.00  ,Sent,gemma@bordermetalroofing.com.au
19/01/2023,Payment,,60.50  ,19/01/2023,Border Metal Roofing,Business,,Paid,,,
16/01/2023,Invoice,1095,60.50  ,23/01/2023,Border Metal Roofing,Sales,7 Days,Paid,0.00  ,Sent,gemma@bordermetalroofing.com.au
24/01/2023,Payment,,60.50  ,24/01/2023,Border Metal Roofing,Business,,Paid,,,
22/01/2023,Invoice,1101,60.50  ,29/01/2023,Border Metal Roofing,Sales,7 Days,Paid,0.00  ,Sent,gemma@bordermetalroofing.com.au
31/01/2023,Payment,,60.50  ,31/01/2023,Border Metal Roofing,Business,,Paid,,,
29/01/2023,Invoice,1110,60.50  ,05/02/2023,Border Metal Roofing,Sales,7 Days,Paid,0.00  ,Sent,gemma@bordermetalroofing.com.au
22/02/2023,Payment,,60.50  ,22/02/2023,Border Metal Roofing,Business,,Paid,,,
19/02/2023,Invoice,1129,60.50  ,26/02/2023,Border Metal Roofing,Sales,7 Days,Paid,0.00  ,Sent,gemma@bordermetalroofing.com.au
28/02/2023,Payment,,121.00  ,28/02/2023,Border Metal Roofing,Business,,Paid,,,
26/02/2023,Invoice,1137,121.00  ,05/03/2023,Border Metal Roofing,Sales,7 Days,Paid,0.00  ,Sent,gemma@bordermetalroofing.com.au
21/03/2023,Payment,,71.50  ,21/03/2023,Border Metal Roofing,Business,,Paid,,,
19/03/2023,Invoice,1161,71.50  ,26/03/2023,Border Metal Roofing,-Split-,7 Days,Paid,0.00  ,Sent,gemma@bordermetalroofing.com.au
27/03/2023,Payment,,60.50  ,27/03/2023,Border Metal Roofing,Business,,Paid,,,
